date	UK	Alemania	Suiza
2017-06	563.52	748.37	89.51
2017-07	734.13	751.15	143.11
2017-08	702.46	785.59	70.78
2017-09	546.31	703.69	36.39
2017-10	301.46	561.62	60.01
2017-11	19.8	86.72	10.24
2017-12	17.55	46.23	NA
2018-01	16.7	51.89	NA
2018-02	14.8	77.56	NA
2018-03	50.43	219.53	13.35
2018-04	165.01	363.07	37.12
2018-05	414.05	578.02	57.94
2018-06	606.05	624.9	91.17
2018-07	755.6	655.33	114.34
2018-08	794.32	755.81	71.45
2018-09	503.57	680.24	90.03
2018-10	315.72	529.58	80.65
2018-11	26.33	93.47	7.31
2018-12	16.89	78.95	NA
2019-01	15.48	58.51	9.88
2019-02	14.9	103.44	NA
2019-03	38.08	205.27	NA
2019-04	178.25	429.84	59.39
2019-05	492.08	480.02	40.47
2019-06	625.74	633.77	83.6
