Mes 	turisticos 
     1993M01	88
     1993M02	88.5
     1993M03	96
     1993M04	102.4
     1993M05	108.7
     1993M06	113.4
     1993M07	120.4
     1993M08	122.6
     1993M09	119.5
     1993M10	114.9
     1993M11	104
     1993M12	103.9
     1994M01	99.9
     1994M02	100.5
     1994M03	113.2
     1994M04	112.2
     1994M05	120.4
     1994M06	121.7
     1994M07	123.5
     1994M08	127.2
     1994M09	128.8
     1994M10	125.1
     1994M11	106.4
     1994M12	112
     1995M01	103.8
     1995M02	104.1
     1995M03	113
     1995M04	121.3
     1995M05	121.4
     1995M06	122.3
     1995M07	127.8
     1995M08	129.3
     1995M09	129.5
     1995M10	125.2
     1995M11	110.1
     1995M12	114.9
     1996M01	106.1
     1996M02	106.1
     1996M03	118.3
     1996M04	124.8
     1996M05	130.5
     1996M06	136.4
     1996M07	139.7
     1996M08	141.7
     1996M09	140.3
     1996M10	135.7
     1996M11	123.5
     1996M12	131.8
     1997M01	124.9
     1997M02	124.2
     1997M03	136.5
     1997M04	131.1
     1997M05	136.4
     1997M06	141.9
     1997M07	171.9
     1997M08	188.2
     1997M09	167.3
     1997M10	147
     1997M11	142.3
     1997M12	149.5
     1998M01	147
     1998M02	145
     1998M03	148.1
     1998M04	156.4
     1998M05	161.8
     1998M06	170
     1998M07	201.1
     1998M08	214.2
     1998M09	192.9
     1998M10	173.5
     1998M11	155
     1998M12	167.2
     1999M01	161.7
     1999M02	161.1
     1999M03	171.8
     1999M04	169.2
     1999M05	168.9
     1999M06	186.1
     1999M07	213.2
     1999M08	226.5
     1999M09	205.1
     1999M10	180.9
     1999M11	160.6
     1999M12	173.7
     2000M01	166.1
     2000M02	167.5
     2000M03	172
     2000M04	184.7
     2000M05	180
     2000M06	192.2
     2000M07	253.2
     2000M08	283.5
     2000M09	233.5
     2000M10	207.5
     2000M11	194.5
     2000M12	212.3
     2001M01	205.9
     2001M02	202.3
     2001M03	206.8
     2001M04	220
     2001M05	207
     2001M06	216.2
     2001M07	233.3
     2001M08	244.6
     2001M09	229.2
     2001M10	212.3
     2001M11	212.4
     2001M12	231.3
