Mes 	 vestido 
     1993M01	102.6
     1993M02	102.7
     1993M03	103
     1993M04	103.7
     1993M05	104
     1993M06	104.1
     1993M07	104.1
     1993M08	104.1
     1993M09	104.3
     1993M10	104.8
     1993M11	105.4
     1993M12	105.4
     1994M01	105.4
     1994M02	105.5
     1994M03	105.7
     1994M04	106.1
     1994M05	106.3
     1994M06	106.4
     1994M07	106.4
     1994M08	106.4
     1994M09	106.7
     1994M10	107.2
     1994M11	107.7
     1994M12	107.9
     1995M01	107.9
     1995M02	108
     1995M03	108.3
     1995M04	108.8
     1995M05	109
     1995M06	109
     1995M07	109
     1995M08	109.1
     1995M09	109.3
     1995M10	110.1
     1995M11	110.6
     1995M12	110.8
     1996M01	110.9
     1996M02	110.9
     1996M03	111.2
     1996M04	111.7
     1996M05	111.9
     1996M06	112
     1996M07	112
     1996M08	112
     1996M09	112.2
     1996M10	112.7
     1996M11	113.1
     1996M12	113.2
     1997M01	113.3
     1997M02	113.3
     1997M03	113.4
     1997M04	113.8
     1997M05	114
     1997M06	114
     1997M07	114.1
     1997M08	114.1
     1997M09	114.2
     1997M10	114.8
     1997M11	115.2
     1997M12	115.3
     1998M01	115.4
     1998M02	115.4
     1998M03	115.6
     1998M04	116
     1998M05	116.3
     1998M06	116.3
     1998M07	116.4
     1998M08	116.4
     1998M09	116.6
     1998M10	117.2
     1998M11	117.8
     1998M12	118
     1999M01	118
     1999M02	118
     1999M03	118.2
     1999M04	118.7
     1999M05	118.9
     1999M06	118.9
     1999M07	118.9
     1999M08	119
     1999M09	119.1
     1999M10	119.7
     1999M11	120.1
     1999M12	120.2
     2000M01	120.3
     2000M02	120.3
     2000M03	120.5
     2000M04	121
     2000M05	121.1
     2000M06	121.2
     2000M07	121.2
     2000M08	121.3
     2000M09	121.5
     2000M10	122
     2000M11	122.6
     2000M12	122.7
     2001M01	122.8
     2001M02	122.9
     2001M03	123.2
     2001M04	123.8
     2001M05	124
     2001M06	124.1
     2001M07	124.1
     2001M08	124.2
     2001M09	124.4
     2001M10	125.3
     2001M11	125.9
     2001M12	126
